source
RCA Records Label
Interscope Records
Generation Now/Atlantic
Taylor Swift
Dead Oceans
XO / Republic Records
BIGHIT MUSIC
Kemosabe Records/RCA Records
Double P Records
Mercury Records/Republic Records
FAX Records/Epic
Warner Records/Major Recordings
Rimas Entertainment LLC
Bichota/Interscope Records
Domino Recording Co
UMLE - Latino
Street Mob Records
Rancho Humilde/Street Mob Records
Acqustic
Olivia Rodrigo PS
Columbia
Universal Republic Records
Top Dawg Entertainment/RCA Records
Atlantic Records
Miserable Music Group
Sony Music Latin
Ministry of Sound Recordings
Darkroom/Interscope Records
Warner Records
Dreamville/Interscope
Republic Records
2023 Double P Records
WEA Latina
Parlophone UK
Play It Again Sam
Grupo Frontera
300 Entertainment
Mavin Records / Jonzing World
Quevedo
Sony Music Entertainment
ITNO/Columbia
T-Series
"Socios Music, LLC"
OVO/Republic
UMI Inc under exclusive license to Unitedmasters LLC
F-Stop Records/Atlantic
Island Records
Def Jam Recordings
Universal Music Ltda.
DEL Records
Mosley Music/Interscope Records
Cactus Jack/Epic
Lions Gate Entertainment Inc. under exclusive license to Geffen Records
Sony Music Latin/La Industria
Vertigo Berlin
Macklemore
Rhino
Aftermath
Roc-A-Fella
Mosley / Interscope
Partisan Records
EMI
Cash Money Records/Young Money Ent./Universal Rec.
Jere Klein
GR6 Music
Universal Music India Pvt. Ltd. (on behalf of Anuv Jain)
Sony Music Latin/Duars Entertainment
Polydor Records
Universal-Island Records Ltd.
Roc Nation Records LLC
Boys Don't Cry
"Big Machine Records, LLC"
Geffen Records
SOURCE MUSIC
BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO
Tratto Entretenimentos
Rios Music/ Outerspace Music/ Boba Records Corporation
La Mafia del Perreo
Warner Music Central Europe
UMC (Universal Music Catalogue)
Neighbourhood / Live Yours
Interscope
"Hotel Ugly, under exclusive license to Amuseio AB"
XL Recordings
RBMG/Def Jam
TV Girl
Darkroom
WM Mexico
Kid Ina Korner / Interscope
Rock The World/IDJ/Kanye LP7
ADOR
"WKMX, División of WK Records / RB Records"
Los CT Records
Galactic Records/Lil Tecca
Big Loud Records / Mercury Records / Republic Records
Elektra (NEK)
Shady/Aftermath/Interscope Records
Craft Recordings
Hollywood Records
One Umbrella Records
JVKE
Atlantic Records UK
Jive
Three Quarter
Arista Records
Universal Music AB
Pina Records
XL Recordings/Columbia
UMLE - Machete
Polar Music International AB
ATTRAKT
Sony Music CG
DJ Snake Def Jam
Monkey Puzzle/Atlantic
Cactus Jack / Epic
Rhino/Warner Records
Syco Music
Interscope Records*
OVO
"Slaughter Gang, LLC/Epic Records"
DALE PLAY Records
'94 Sounds/RCA Records
Mesita
Sony Music Labels Inc.
"Badsin Records, LLC"
Richy Mitch & The Coal Miners
"Night Street Records, Inc./Warner Records Inc."
Kygo/RCA Records
"Universal Music Latino / Gaby Music, Inc."
UNI/MOTOWN
Disruptor Records/Columbia
Hot Girl Productions
YG Marley Music
"Producciones Ladon, S.A de C.V./Sony Music México"
10K Projects/Capitol Records
4Batz
Internet Money Records / 10K Projects
Elektra France
Cactus Jack / Atlantic
Parlophone Records Limited
Some Action
YZY
Parkwood Entertainment/Columbia
Universal Music Italia srL.
Warner Music
LaFace Records
IM Music
Latarma S.r.l.
Penta Entretenimento / Salvador Produções
FloyyMenor under exclusive license to UnitedMasters LLC
River House Artists/Columbia Nashville
WM Brazil
FFRR
Djo
NEUEN
Field Trip Recordings/Capitol Records
UMLE - Fonovisa
"Supergiant Records, LLC / Def Jam Recordings"
Pablo Nunes
TrapSoul/RCA Records
Black Panther (TDE/DMG) PS
Red Zone Entertainment / IDJ
Bad Boy Entertainment/Epic Records
Joost Klein
Columbia/Legacy
4batz / OVO Sound
Epic/Sing It Loud
Monkey Puzzle Records/RCA Records
Rancho Humilde
Hypers
Epic
Artemas
