,vi_tri_xep_hang,nghe_si,ten_bai_hat,vi_tri_cao_nhat,vi_tri_tuan_truoc,so_tuan_tren_bang_xep_hang,luot_nghe,bai_hat_moi,thay_doi_thu_hang,nhom_luot_nghe,do_ben
3099,100,Sabrina Carpenter,Nonsense,17,102,65,10775011,False,2,Trung bình,Dài hạn
3100,101,Bruno Mars,Locked out of Heaven,39,117,97,10729707,False,16,Trung bình,Dài hạn
3101,102,Coldplay,Yellow,36,94,174,10715339,False,-8,Trung bình,Dài hạn
3102,103,Linkin Park,In the End,22,132,41,10705545,False,29,Trung bình,Dài hạn
3103,104,Taylor Swift,Lover,2,112,63,10700847,False,8,Trung bình,Dài hạn
3104,105,Lana Del Rey,Summertime Sadness,83,175,88,10683039,False,70,Trung bình,Dài hạn
3105,106,"Disturbed, CYRIL",The Sound of Silence - CYRIL Remix,106,-1,1,10678451,True,-107,Trung bình,Ngắn hạn
3106,107,Ariana Grande,the boy is mine,11,77,6,10613449,False,-30,Trung bình,Trung hạn
3107,108,SZA,Kill Bill,1,116,71,10582093,False,8,Trung bình,Dài hạn
3108,109,V,FRI(END)S,15,73,5,10580187,False,-36,Trung bình,Trung hạn
3109,110,Ruth B.,Dandelions,34,98,137,10576709,False,-12,Trung bình,Dài hạn
3110,111,"Kygo, Ava Max",Whatever,91,91,13,10550028,False,-20,Trung bình,Dài hạn
3111,112,CYRIL,Stumblin' In,95,95,4,10515722,False,-17,Trung bình,Ngắn hạn
3112,113,Julión Álvarez y su Norteño Banda,Regalo De Dios,100,131,9,10471923,False,18,Trung bình,Trung hạn
3113,114,Arctic Monkeys,505,43,126,119,10459258,False,12,Trung bình,Dài hạn
3114,115,James Arthur,Say You Won't Let Go,7,119,302,10457713,False,4,Trung bình,Dài hạn
3115,116,Taylor Swift,Anti-Hero,1,130,78,10420784,False,14,Trung bình,Dài hạn
3116,117,OneRepublic,Counting Stars,86,105,157,10263052,False,-12,Trung bình,Dài hạn
3117,118,"Billie Eilish, Khalid",lovely (with Khalid),24,111,313,10261246,False,-7,Trung bình,Dài hạn
3118,119,One Direction,Night Changes,85,121,77,10227994,False,2,Trung bình,Dài hạn
3119,120,Cigarettes After Sex,Apocalypse,79,129,92,10176809,False,9,Trung bình,Dài hạn
3120,121,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),16,164,60,10153661,False,43,Trung bình,Dài hạn
3121,122,Hozier,Take Me To Church,108,113,137,10128127,False,-9,Trung bình,Dài hạn
3122,123,"Don Omar, Lucenzo",Danza Kuduro,104,115,30,10121114,False,-8,Trung bình,Dài hạn
3123,124,Tears For Fears,Everybody Wants To Rule The World,91,99,82,10105054,False,-25,Trung bình,Dài hạn
3124,125,Imagine Dragons,Demons,111,118,73,10063923,False,-7,Trung bình,Dài hạn
3125,126,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),86,107,110,10049918,False,-19,Trung bình,Dài hạn
3126,127,Coldplay,Viva La Vida,53,138,86,10035998,False,11,Trung bình,Dài hạn
3127,128,Zach Bryan,Something in the Orange,57,133,67,10033447,False,5,Trung bình,Dài hạn
3128,129,Morgan Wallen,Last Night,14,136,61,10011832,False,7,Trung bình,Dài hạn
3129,130,Taylor Swift,cardigan,1,108,69,9977117,False,-22,Trung bình,Dài hạn
3130,131,Isabel LaRosa,Favorite,131,165,2,9971839,False,34,Trung bình,Ngắn hạn
3131,132,"The Chainsmokers, Coldplay",Something Just Like This,2,128,203,9937178,False,-4,Trung bình,Dài hạn
3132,133,TV Girl,Lovers Rock,100,127,43,9919040,False,-6,Trung bình,Dài hạn
3133,134,Harry Styles,Watermelon Sugar,4,123,210,9779834,False,-11,Trung bình,Dài hạn
3134,135,Linkin Park,Numb,34,139,20,9759124,False,4,Trung bình,Dài hạn
3135,136,Creepy Nuts,Bling-Bang-Bang-Born,57,106,14,9696976,False,-30,Trung bình,Dài hạn
3136,137,"David Guetta, OneRepublic",I Don't Wanna Wait,137,-1,1,9673998,True,-138,Trung bình,Ngắn hạn
3137,138,G-Eazy,Lady Killers II,103,103,3,9673374,False,-35,Trung bình,Ngắn hạn
3138,139,Keane,Somewhere Only We Know,80,159,78,9656377,False,20,Thấp,Dài hạn
3139,140,Bill Withers,Ain't No Sunshine,76,76,6,9587372,False,-64,Thấp,Trung hạn
3140,141,"French Montana, Swae Lee",Unforgettable,3,110,85,9538030,False,-31,Thấp,Dài hạn
3141,142,Eminem,Without Me,31,137,134,9535945,False,-5,Thấp,Dài hạn
3142,143,"Rihanna, Calvin Harris",We Found Love,59,155,59,9535659,False,12,Thấp,Dài hạn
3143,144,"The Weeknd, Lana Del Rey",Stargirl Interlude,92,149,90,9532491,False,5,Thấp,Dài hạn
3144,145,"Tiago PZK, Ke Personajes",Piel,125,125,2,9477010,False,-20,Thấp,Ngắn hạn
3145,146,d4vd,Romantic Homicide,17,122,85,9422733,False,-24,Thấp,Dài hạn
3146,147,Imagine Dragons,Believer,16,154,372,9398683,False,7,Thấp,Dài hạn
3147,148,"The Academy: Segunda Misión, Sech, Justin Quiles, Lenny Tavárez, Dalex, Dímelo Flow, Myke Towers",LA RANGER (feat. Myke Towers),104,104,3,9397509,False,-44,Thấp,Ngắn hạn
3148,149,V,Love Me Again,11,143,36,9393369,False,-6,Thấp,Dài hạn
3149,150,"Peso Pluma, Anitta",BELLAKEO,10,124,19,9329023,False,-26,Thấp,Dài hạn
3150,151,Taylor Swift,august,11,166,62,9323236,False,15,Thấp,Dài hạn
3151,152,Kanye West,Heartless,76,148,41,9302854,False,-4,Thấp,Dài hạn
3152,153,Glass Animals,Heat Waves,1,152,169,9298517,False,-1,Thấp,Dài hạn
3153,154,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,4,150,134,9202914,False,-4,Thấp,Dài hạn
3154,155,Travis Scott,goosebumps,13,141,243,9188727,False,-14,Thấp,Dài hạn
3155,156,Billie Eilish,hotline (edit),147,147,3,9120327,False,-9,Thấp,Ngắn hạn
3156,157,Dua Lipa,Dance The Night - From Barbie The Album,5,173,47,9111860,False,16,Thấp,Dài hạn
3157,158,"Fuerza Regida, Marshmello",HARLEY QUINN,11,183,25,9074660,False,25,Thấp,Dài hạn
3158,159,Benson Boone,Cry,144,144,2,9052508,False,-15,Thấp,Ngắn hạn
3159,160,Doja Cat,Agora Hills,16,156,30,9040547,False,-4,Thấp,Dài hạn
3160,161,Kenya Grace,Strangers,4,151,33,9031060,False,-10,Thấp,Dài hạn
3161,162,Justin Bieber,Ghost,11,161,132,9026882,False,-1,Thấp,Dài hạn
3162,163,"DJ JZ, Humberto & Ronaldo, Mc Mininin, DJ LG PROD, Silvanno Salles",Mtg Quero Te Encontrar,163,-1,1,9013072,True,-164,Thấp,Ngắn hạn
3163,164,J. Cole,No Role Modelz,76,109,143,8987259,False,-55,Thấp,Dài hạn
3164,165,Shaboozey,A Bar Song (Tipsy),165,-1,1,8966033,True,-166,Thấp,Ngắn hạn
3165,166,"Luis R Conriquez, Neton Vega",Si No Quieres No,166,-1,1,8962804,True,-167,Thấp,Ngắn hạn
3166,167,"iZaak, JHAYCO, Anuel AA",BBY BOO - REMIX,167,-1,1,8958408,True,-168,Thấp,Ngắn hạn
3167,168,Bruno Mars,Just the Way You Are,39,178,68,8929027,False,10,Thấp,Dài hạn
3168,169,Jungle,Back On 74,145,145,3,8913318,False,-24,Thấp,Ngắn hạn
3169,170,"Ofenbach, Norma Jean Martine",Overdrive (feat. Norma Jean Martine),157,157,9,8883205,False,-13,Thấp,Trung hạn
3170,171,Bruno Mars,When I Was Your Man,38,198,85,8872441,False,27,Thấp,Dài hạn
3171,172,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),3,163,29,8868319,False,-9,Thấp,Dài hạn
3172,173,Eminem,Mockingbird,24,162,79,8837371,False,-11,Thấp,Dài hạn
3173,174,"Beyoncé, Miley Cyrus",II MOST WANTED,13,50,3,8817040,False,-124,Thấp,Ngắn hạn
3174,175,"Feid, Young Miko",CLASSY 101,8,191,54,8786475,False,16,Thấp,Dài hạn
3175,176,"Bakar, Summer Walker",Hell N Back (feat. Summer Walker),176,-1,1,8767247,True,-177,Thấp,Ngắn hạn
3176,177,"Young Miko, Feid",offline,177,-1,1,8762283,True,-178,Thấp,Ngắn hạn
3177,178,Dominic Fike,Babydoll,158,158,2,8745288,False,-20,Thấp,Ngắn hạn
3178,179,Sophie Ellis-Bextor,Murder On The Dancefloor,13,176,16,8720797,False,-3,Thấp,Dài hạn
3179,180,iñigo quintero,Si No Estás,1,167,30,8719990,False,-13,Thấp,Dài hạn
