vi_tri_xep_hang,nghe_si,ten_bai_hat,vi_tri_cao_nhat,vi_tri_tuan_truoc,so_tuan_tren_bang_xep_hang,luot_nghe,bai_hat_moi,thay_doi_thu_hang,nhom_luot_nghe,do_ben
1,Tate McRae,greedy,1,14,16,33855816,False,13,Rất cao,Dài hạn
2,Xavi,La Diabla,2,17,4,30894083,False,15,Rất cao,Ngắn hạn
3,Jack Harlow,Lovin On Me,3,19,8,30778444,False,16,Rất cao,Trung hạn
4,Taylor Swift,Cruel Summer,2,20,48,30224692,False,16,Rất cao,Dài hạn
5,Mitski,My Love Mine All Mine,3,18,15,26430016,False,13,Rất cao,Dài hạn
6,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",6,28,13,25102523,False,22,Rất cao,Dài hạn
7,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),1,31,25,24932897,False,24,Rất cao,Dài hạn
8,Doja Cat,Paint The Town Red,1,37,22,23007926,False,29,Rất cao,Dài hạn
9,Xavi,La Víctima,9,40,6,22586881,False,31,Rất cao,Trung hạn
10,"Peso Pluma, Anitta",BELLAKEO,10,35,4,21934979,False,25,Rất cao,Ngắn hạn
11,Noah Kahan,Stick Season,11,47,13,20766879,False,36,Rất cao,Dài hạn
12,Tyla,Water,12,53,15,20253784,False,41,Rất cao,Dài hạn
13,Kenya Grace,Strangers,4,45,18,19944265,False,32,Rất cao,Dài hạn
14,"Bad Bunny, Feid",PERRO NEGRO,4,39,12,19940949,False,25,Rất cao,Trung hạn
15,"KAROL G, Peso Pluma",QLONA,5,36,21,19637213,False,21,Rất cao,Dài hạn
16,Jung Kook,Standing Next to You,1,49,9,19208564,False,33,Rất cao,Trung hạn
17,Arctic Monkeys,I Wanna Be Yours,15,41,78,19178677,False,24,Rất cao,Dài hạn
18,"Feid, ATL Jacob",LUNA,18,42,4,18756356,False,24,Rất cao,Ngắn hạn
19,"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,16,43,18,18213631,False,24,Rất cao,Dài hạn
20,"Fuerza Regida, Marshmello",HARLEY QUINN,11,46,10,17844095,False,26,Rất cao,Trung hạn
21,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),16,68,31,17771360,False,47,Rất cao,Dài hạn
22,iñigo quintero,Si No Estás,1,44,15,17466144,False,22,Rất cao,Dài hạn
23,Olivia Rodrigo,vampire,1,62,27,17456781,False,39,Rất cao,Dài hạn
24,Doja Cat,Agora Hills,16,56,15,17162746,False,32,Rất cao,Dài hạn
25,Harry Styles,As It Was,1,77,92,16955059,False,52,Rất cao,Dài hạn
26,"The Weeknd, Daft Punk",Starboy,1,57,170,16863102,False,31,Rất cao,Dài hạn
27,SZA,Kill Bill,1,73,56,15913839,False,46,Rất cao,Dài hạn
28,Dua Lipa,Dance The Night - From Barbie The Album,5,111,32,15681385,False,83,Rất cao,Dài hạn
29,David Kushner,Daylight,5,69,38,15455473,False,40,Rất cao,Dài hạn
30,Miley Cyrus,Flowers,1,94,51,15413331,False,64,Rất cao,Dài hạn
31,"Maluma, Carin Leon",Según Quién,17,61,16,15371497,False,30,Rất cao,Dài hạn
32,"cassö, RAYE, D-Block Europe",Prada,17,107,20,15135602,False,75,Rất cao,Dài hạn
33,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",3,85,25,14529772,False,52,Cao,Dài hạn
34,Bad Bunny,MONACO,1,74,12,14488258,False,40,Cao,Trung hạn
35,Dua Lipa,Houdini,6,102,8,14430948,False,67,Cao,Trung hạn
36,"JID, 21 Savage, Baby Tate",Surround Sound (feat. 21 Savage & Baby Tate),36,76,7,14333722,False,40,Cao,Trung hạn
37,The Weeknd,Blinding Lights,1,103,214,14285189,False,66,Cao,Dài hạn
38,"Peso Pluma, Junior H, Oscar Maydon",ROMPE LA DOMPE,38,-1,1,14120134,True,-39,Cao,Ngắn hạn
39,Myke Towers,LALA,1,78,27,13999105,False,39,Cao,Dài hạn
40,"David Guetta, Bebe Rexha",I'm Good (Blue),2,127,71,13957010,False,87,Cao,Dài hạn
41,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),20,106,19,13913315,False,65,Cao,Dài hạn
42,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),3,82,14,13730828,False,40,Cao,Dài hạn
43,"Peso Pluma, Gabito Ballesteros, Junior H",LADY GAGA,9,79,28,13657300,False,36,Cao,Dài hạn
44,Lord Huron,The Night We Met,36,89,63,13634229,False,45,Cao,Dài hạn
45,SZA,Snooze,32,98,54,13570396,False,53,Cao,Dài hạn
46,The Weeknd,Die For You,12,91,99,13545527,False,45,Cao,Dài hạn
47,"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA,47,88,22,13297023,False,41,Cao,Dài hạn
48,V,Love Me Again,11,95,21,13262472,False,47,Cao,Dài hạn
49,Gunna,fukumean,9,100,29,13097971,False,51,Cao,Dài hạn
50,"Rema, Selena Gomez",Calm Down (with Selena Gomez),9,136,71,13000560,False,86,Cao,Dài hạn
51,The Neighbourhood,Sweater Weather,19,101,175,12929770,False,50,Cao,Dài hạn
52,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),1,109,10,12524320,False,57,Cao,Trung hạn
53,Quevedo,Columbia,7,96,26,12505037,False,43,Cao,Dài hạn
54,"Luan Santana, Ana Castela",DEJA VU,54,140,2,12425847,False,86,Cao,Ngắn hạn
55,Tom Odell,Another Love,15,104,143,12178758,False,49,Cao,Dài hạn
56,"Vishal Mishra, Raj Shekhar",Pehle Bhi Main,49,83,4,12156236,False,27,Cao,Ngắn hạn
57,Teddy Swims,Lose Control,57,129,8,12056485,False,72,Cao,Trung hạn
58,Jimin,Like Crazy,15,92,41,11892787,False,34,Cao,Dài hạn
59,Carin Leon,Primera Cita,21,105,27,11844810,False,46,Cao,Dài hạn
60,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),16,117,45,11829446,False,57,Cao,Dài hạn
61,Taylor Swift,Anti-Hero,1,125,63,11788898,False,64,Cao,Dài hạn
62,"Grupo Frontera, Bad Bunny",un x100to,1,126,38,11686720,False,64,Cao,Dài hạn
63,"Drake, Yeat",IDGAF (feat. Yeat),5,110,13,11681564,False,47,Cao,Dài hạn
64,"UMI, V",wherever u r (ft. V of BTS),64,-1,1,11657979,True,-65,Cao,Ngắn hạn
65,Vance Joy,Riptide,65,198,151,11634309,False,133,Cao,Dài hạn
66,Nicki Minaj,FTCU,66,112,3,11513908,False,46,Cao,Ngắn hạn
67,Sabrina Carpenter,Feather,67,165,5,11491130,False,98,Cao,Trung hạn
68,Taylor Swift,Lover,2,123,48,11407664,False,55,Cao,Dài hạn
69,"Rihanna, Calvin Harris",We Found Love,59,-1,44,11404507,True,-70,Cao,Dài hạn
70,Tate McRae,exes,26,130,7,11281672,False,60,Cao,Trung hạn
71,Lauana Prado,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,71,115,2,10974282,False,44,Trung bình,Ngắn hạn
72,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,1,133,265,10939033,False,61,Trung bình,Dài hạn
73,"Eslabon Armado, Peso Pluma",Ella Baila Sola,1,118,42,10920625,False,45,Trung bình,Dài hạn
74,OneRepublic,I Ain't Worried,7,175,83,10892576,False,101,Trung bình,Dài hạn
75,Coldplay,Viva La Vida,57,163,71,10771297,False,88,Trung bình,Dài hạn
76,Coldplay,Yellow,50,134,159,10768755,False,58,Trung bình,Dài hạn
77,Travis Scott,I KNOW ?,14,147,23,10623166,False,70,Trung bình,Dài hạn
78,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),2,131,57,10572731,False,53,Trung bình,Dài hạn
79,Jimin,Closer Than This,65,65,2,10548831,False,-14,Trung bình,Ngắn hạn
80,"Xavi, Los Dareyes De La Sierra",Poco A Poco,80,161,2,10501435,False,81,Trung bình,Ngắn hạn
81,"Drake, Sexyy Red, SZA",Rich Baby Daddy (feat. Sexyy Red & SZA),28,181,12,10453197,False,100,Trung bình,Trung hạn
82,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,35,145,9,10426372,False,63,Trung bình,Trung hạn
83,Manuel Turizo,La Bachata,4,152,79,10402796,False,69,Trung bình,Dài hạn
84,"Feid, Young Miko",CLASSY 101,8,142,40,10358093,False,58,Trung bình,Dài hạn
85,Lewis Capaldi,Someone You Loved,4,138,260,10349529,False,53,Trung bình,Dài hạn
86,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),86,191,99,10307415,False,105,Trung bình,Dài hạn
87,a-ha,Take on Me,83,149,21,10267499,False,62,Trung bình,Dài hạn
88,Bruno Mars,Locked out of Heaven,39,151,82,10258198,False,63,Trung bình,Dài hạn
89,Eminem,Without Me,31,135,119,10238854,False,46,Trung bình,Dài hạn
90,Kanye West,Heartless,90,153,26,10174728,False,63,Trung bình,Dài hạn
91,The Weeknd,Save Your Tears,2,150,155,10061366,False,59,Trung bình,Dài hạn
92,OneRepublic,Counting Stars,92,162,142,10048632,False,70,Trung bình,Dài hạn
93,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),5,197,16,10001833,False,104,Trung bình,Dài hạn
94,The Killers,Mr. Brightside,94,-1,119,9948722,True,-95,Trung bình,Dài hạn
95,Cigarettes After Sex,Apocalypse,89,154,77,9854300,False,59,Trung bình,Dài hạn
96,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,4,-1,120,9808894,True,-97,Trung bình,Dài hạn
97,Taylor Swift,You’re Losing Me (From The Vault),14,155,6,9807132,False,58,Trung bình,Trung hạn
98,"Drake, Wizkid, Kyla",One Dance,12,186,175,9803339,False,88,Trung bình,Dài hạn
99,"Jere Klein, Gittobeatz",ANDO,99,158,5,9773453,False,59,Trung bình,Trung hạn
100,"Dj GBR, Mc IG, MC Ryan SP, MC PH, Mc Davi, Mc Luki, Mc Don Juan, Mc Kadu, TrapLaudo, MC GP, MC GH do 7",Let's Go 4,85,146,16,9750709,False,46,Trung bình,Dài hạn
101,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),1,-1,129,9737563,True,-102,Trung bình,Dài hạn
102,Anuv Jain,Husn,102,-1,1,9723129,True,-103,Trung bình,Ngắn hạn
103,Eminem,Mockingbird,24,137,64,9711113,False,34,Trung bình,Dài hạn
104,Rauw Alejandro,DILUVIO,59,141,8,9635872,False,37,Thấp,Trung hạn
105,Glass Animals,Heat Waves,1,-1,154,9605358,True,-106,Thấp,Dài hạn
106,"The Weeknd, Lana Del Rey",Stargirl Interlude,99,185,75,9592714,False,79,Thấp,Dài hạn
107,Keane,Somewhere Only We Know,106,170,63,9588898,False,63,Thấp,Dài hạn
108,Taylor Swift,cardigan,1,169,54,9585687,False,61,Thấp,Dài hạn
109,J. Cole,No Role Modelz,76,179,128,9528253,False,70,Thấp,Dài hạn
110,Junior H,Y LLORO,55,189,13,9486861,False,79,Thấp,Dài hạn
111,Frank Ocean,Pink + White,70,184,33,9477352,False,73,Thấp,Dài hạn
112,Taylor Swift,Don’t Blame Me,71,190,72,9462800,False,78,Thấp,Dài hạn
113,Sabrina Carpenter,Nonsense,17,-1,50,9436421,True,-114,Thấp,Dài hạn
114,d4vd,Romantic Homicide,17,166,70,9312208,False,52,Thấp,Dài hạn
115,Kali Uchis,Moonlight,37,193,43,9239202,False,78,Thấp,Dài hạn
116,"Drake, J. Cole",First Person Shooter (feat. J. Cole),6,188,13,9234978,False,72,Thấp,Dài hạn
117,"Arijit Singh, Shreyas Puranik, Siddharth - Garima","Satranga (From ""ANIMAL"")",74,132,5,9173542,False,15,Thấp,Trung hạn
118,Zach Bryan,Something in the Orange,57,-1,52,9153477,True,-119,Thấp,Dài hạn
119,LE SSERAFIM,Perfect Night,57,195,10,9147650,False,76,Thấp,Trung hạn
120,KAROL G,AMARGURA,53,178,33,9146128,False,58,Thấp,Dài hạn
121,"JC NO BEAT, DJ F7, MC Meno Dani, Silva Mc",Maria Mariah,121,-1,1,9136965,True,-122,Thấp,Ngắn hạn
122,"Alex Favela, Grupo Marca Registrada, Joaquin Medina",ELOVRGA,59,157,18,9135997,False,35,Thấp,Dài hạn
123,"Bellakath, Dani Flow",Reggaeton Champagne,78,143,13,9134013,False,20,Thấp,Dài hạn
124,BENNETT,Vois sur ton chemin - Techno Mix,85,-1,11,9133771,True,-125,Thấp,Trung hạn
125,Tears For Fears,Everybody Wants To Rule The World,91,-1,67,9124299,True,-126,Thấp,Dài hạn
126,The Walters,I Love You So,21,200,86,9099445,False,74,Thấp,Dài hạn
127,Arctic Monkeys,Why'd You Only Call Me When You're High?,95,-1,108,9098252,True,-128,Thấp,Dài hạn
128,"Dave, Central Cee",Sprinter,6,199,31,9055677,False,71,Thấp,Dài hạn
129,The Police,Every Breath You Take,101,-1,108,9006084,True,-130,Thấp,Dài hạn
130,Lana Del Rey,Summertime Sadness,83,192,73,8995944,False,62,Thấp,Dài hạn
131,Eminem,The Real Slim Shady,51,171,113,8965915,False,40,Thấp,Dài hạn
132,Conan Gray,Heather,12,173,143,8962576,False,41,Thấp,Dài hạn
133,Hotel Ugly,Shut up My Moms Calling,82,-1,52,8898809,True,-134,Thấp,Dài hạn
134,Adele,Set Fire to the Rain,61,-1,55,8874021,True,-135,Thấp,Dài hạn
135,Justin Bieber,Ghost,11,-1,117,8873179,True,-136,Thấp,Dài hạn
136,TV Girl,Lovers Rock,119,182,28,8864276,False,46,Thấp,Dài hạn
137,"Billie Eilish, Khalid",lovely (with Khalid),24,187,298,8834669,False,50,Thấp,Dài hạn
138,Arctic Monkeys,505,43,-1,104,8819325,True,-139,Thấp,Dài hạn
139,"Yng Lvcas, Peso Pluma",La Bebe - Remix,3,196,42,8815547,False,57,Thấp,Dài hạn
140,Peggy Gou,(It Goes Like) Nanana - Edit,21,-1,22,8800389,True,-141,Thấp,Dài hạn
141,Imagine Dragons,Demons,119,-1,58,8785740,True,-142,Thấp,Dài hạn
142,Kanye West,Father Stretch My Hands Pt. 1,142,-1,5,8775480,True,-143,Thấp,Trung hạn
143,Sophie Ellis-Bextor,Murder On The Dancefloor,143,-1,1,8760004,True,-144,Thấp,Ngắn hạn
144,"Kanye West, Dwele",Flashing Lights,141,-1,15,8759887,True,-145,Thấp,Dài hạn
145,"Peso Pluma, Tito Double P",LA PEOPLE,115,160,7,8740541,False,15,Thấp,Trung hạn
146,NewJeans,Super Shy,9,-1,25,8728362,True,-147,Thấp,Dài hạn
147,"Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel, Los Esquivel",Alucin,147,-1,1,8726916,True,-148,Thấp,Ngắn hạn
148,"Xavi, Tony Aguirre",Modo DND,148,-1,1,8695922,True,-149,Thấp,Ngắn hạn
149,"Gabito Ballesteros, Natanael Cano",LOU LOU,43,177,11,8633744,False,28,Thấp,Trung hạn
150,Lil Tecca,500lbs,89,-1,11,8616977,True,-151,Thấp,Trung hạn
151,Morgan Wallen,Last Night,14,-1,46,8582915,True,-152,Thấp,Dài hạn
152,Travis Scott,MY EYES,15,-1,8,8558889,True,-153,Thấp,Trung hạn
153,Bruno Mars,Just the Way You Are,120,-1,53,8524759,True,-154,Thấp,Dài hạn
154,Taylor Swift,august,11,-1,47,8518795,True,-155,Thấp,Dài hạn
155,Black Eyed Peas,I Gotta Feeling,118,-1,3,8503727,True,-156,Thấp,Ngắn hạn
156,Bruno Mars,When I Was Your Man,72,-1,70,8492900,True,-157,Thấp,Dài hạn
157,"Eminem, Juice WRLD",Godzilla (feat. Juice WRLD),4,167,84,8458323,False,10,Thấp,Dài hạn
158,Creedence Clearwater Revival,Have You Ever Seen The Rain,158,-1,20,8456605,True,-159,Thấp,Dài hạn
159,Miley Cyrus,Party In The U.S.A.,132,-1,4,8454217,True,-160,Thấp,Ngắn hạn
160,Tory Lanez,The Color Violet,70,-1,46,8449904,True,-161,Thấp,Dài hạn
161,JVKE,golden hour,14,-1,69,8433767,True,-162,Thấp,Dài hạn
162,Hozier,Take Me To Church,108,-1,123,8423723,True,-163,Thấp,Dài hạn
163,Arctic Monkeys,Do I Wanna Know?,98,-1,118,8408982,True,-164,Thấp,Dài hạn
164,Ed Sheeran,Perfect,4,-1,353,8404086,True,-165,Thấp,Dài hạn
165,d4vd,Here With Me,14,-1,61,8388331,True,-166,Thấp,Dài hạn
166,Miguel,Sure Thing,14,-1,55,8362580,True,-167,Thấp,Dài hạn
167,KAROL G,MI EX TENÍA RAZÓN,22,-1,20,8361890,True,-168,Thấp,Dài hạn
168,Eminem,Lose Yourself,44,-1,127,8358355,True,-169,Thấp,Dài hạn
169,"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),33,-1,43,8347935,True,-170,Thấp,Dài hạn
170,Steve Lacy,Dark Red,66,-1,107,8336921,True,-171,Thấp,Dài hạn
171,The Weeknd,The Hills,52,-1,89,8325849,True,-172,Thấp,Dài hạn
172,Ruth B.,Dandelions,34,-1,124,8322218,True,-173,Thấp,Dài hạn
173,Paul Russell,Lil Boo Thang,173,-1,1,8292580,True,-174,Thấp,Ngắn hạn
174,"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,5,-1,103,8282620,True,-175,Thấp,Dài hạn
175,Myke Towers,LA FALDA,175,-1,1,8250145,True,-176,Thấp,Ngắn hạn
176,"Grupo Frontera, Carin Leon",QUE VUELVAS,36,-1,40,8228894,True,-177,Thấp,Dài hạn
177,Avicii,Wake Me Up,13,-1,93,8215513,True,-178,Thấp,Dài hạn
178,Plan B,Es un Secreto,157,-1,16,8181870,True,-179,Thấp,Dài hạn
179,The Goo Goo Dolls,Iris,124,-1,23,8155492,True,-180,Thấp,Dài hạn
180,Darell,Lollipop,19,-1,12,8143784,True,-181,Thấp,Trung hạn
181,Taylor Swift,Blank Space,27,-1,106,8126968,True,-182,Thấp,Dài hạn
182,Adele,Skyfall,182,-1,1,8080073,True,-183,Thấp,Ngắn hạn
183,Linkin Park,In the End,22,-1,26,8054436,True,-184,Thấp,Dài hạn
184,"The Weeknd, Ariana Grande",Die For You (with Ariana Grande) - Remix,2,-1,37,8044640,True,-185,Thấp,Dài hạn
185,Imagine Dragons,Believer,16,-1,357,8030136,True,-186,Thấp,Dài hạn
186,"Metro Boomin, Travis Scott, Young Thug",Trance (with Travis Scott & Young Thug),65,-1,31,8008618,True,-187,Thấp,Dài hạn
187,"Kanye West, Pusha T",Runaway,187,-1,3,7989691,True,-188,Thấp,Ngắn hạn
188,Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",3,-1,8,7970556,True,-189,Thấp,Trung hạn
189,"Don Omar, Lucenzo",Danza Kuduro,104,-1,17,7955277,True,-190,Thấp,Dài hạn
190,"KAROL G, Shakira",TQG,1,-1,43,7950655,True,-191,Thấp,Dài hạn
191,ABBA,Dancing Queen,191,-1,1,7947485,True,-192,Thấp,Ngắn hạn
192,FIFTY FIFTY,Cupid (Twin Ver.) - Live Studio Version OT4,4,-1,39,7944245,True,-193,Thấp,Dài hạn
193,Wham!,Last Christmas - Single Version,2,2,51,7914063,False,-191,Thấp,Dài hạn
194,Radiohead,Creep,143,-1,25,7864361,True,-195,Thấp,Dài hạn
195,"DJ Snake, Justin Bieber",Let Me Love You,4,-1,48,7847558,True,-196,Thấp,Dài hạn
196,"Kendrick Lamar, Jay Rock",Money Trees,62,-1,48,7823299,True,-197,Thấp,Dài hạn
197,Sia,Snowman,9,9,33,7790817,False,-188,Thấp,Dài hạn
198,Lana Del Rey,Say Yes To Heaven,18,-1,30,7786765,True,-199,Thấp,Dài hạn
199,TV Girl,Not Allowed,171,-1,3,7775597,True,-200,Thấp,Ngắn hạn
200,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,10,-1,53,7771876,True,-201,Thấp,Dài hạn
1,Xavi,La Diabla,1,2,5,34195950,False,1,Rất cao,Trung hạn
2,Tate McRae,greedy,1,1,17,34059012,False,-1,Rất cao,Dài hạn
3,Jack Harlow,Lovin On Me,3,3,9,32055608,False,0,Rất cao,Trung hạn
4,Taylor Swift,Cruel Summer,2,4,49,28511866,False,0,Rất cao,Dài hạn
5,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",5,6,14,27400991,False,1,Rất cao,Dài hạn
6,Mitski,My Love Mine All Mine,3,5,16,27354041,False,-1,Rất cao,Dài hạn
7,Noah Kahan,Stick Season,7,11,14,24788155,False,4,Rất cao,Dài hạn
8,Xavi,La Víctima,8,9,7,23066551,False,1,Rất cao,Trung hạn
9,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),1,7,26,22294951,False,-2,Rất cao,Dài hạn
10,Doja Cat,Paint The Town Red,1,8,23,22034792,False,-2,Rất cao,Dài hạn
11,"Feid, ATL Jacob",LUNA,11,18,5,21652729,False,7,Rất cao,Trung hạn
12,"Peso Pluma, Anitta",BELLAKEO,10,10,5,20997062,False,-2,Rất cao,Trung hạn
13,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),13,21,32,20428615,False,8,Rất cao,Dài hạn
14,Kenya Grace,Strangers,4,13,19,20024519,False,-1,Rất cao,Dài hạn
15,Arctic Monkeys,I Wanna Be Yours,15,17,79,19970377,False,2,Rất cao,Dài hạn
16,Tyla,Water,12,12,16,19677995,False,-4,Rất cao,Dài hạn
17,"Bad Bunny, Feid",PERRO NEGRO,4,14,13,19476456,False,-3,Rất cao,Dài hạn
18,Jung Kook,Standing Next to You,1,16,10,19381222,False,-2,Rất cao,Trung hạn
19,"KAROL G, Peso Pluma",QLONA,5,15,22,18450452,False,-4,Rất cao,Dài hạn
20,Olivia Rodrigo,vampire,1,23,28,18230348,False,3,Rất cao,Dài hạn
21,"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,16,19,19,17356851,False,-2,Rất cao,Dài hạn
22,Doja Cat,Agora Hills,16,24,16,17152621,False,2,Rất cao,Dài hạn
23,"The Weeknd, Daft Punk",Starboy,1,26,171,17100327,False,3,Rất cao,Dài hạn
24,iñigo quintero,Si No Estás,1,22,16,17002985,False,-2,Rất cao,Dài hạn
25,"Fuerza Regida, Marshmello",HARLEY QUINN,11,20,11,16758491,False,-5,Rất cao,Trung hạn
26,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",3,33,26,16646305,False,7,Rất cao,Dài hạn
27,SZA,Kill Bill,1,27,57,16398834,False,0,Rất cao,Dài hạn
28,Harry Styles,As It Was,1,25,93,15967765,False,-3,Rất cao,Dài hạn
29,David Kushner,Daylight,5,29,39,15821912,False,0,Rất cao,Dài hạn
30,Vance Joy,Riptide,30,65,152,15744110,False,35,Rất cao,Dài hạn
31,Dua Lipa,Houdini,6,35,9,15642294,False,4,Rất cao,Trung hạn
32,Teddy Swims,Lose Control,32,57,9,15462408,False,25,Rất cao,Trung hạn
33,Sophie Ellis-Bextor,Murder On The Dancefloor,33,143,2,15428131,False,110,Rất cao,Ngắn hạn
34,"JID, 21 Savage, Baby Tate",Surround Sound (feat. 21 Savage & Baby Tate),34,36,8,14786989,False,2,Cao,Trung hạn
35,"Maluma, Carin Leon",Según Quién,17,31,17,14701296,False,-4,Cao,Dài hạn
36,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),20,41,20,14698793,False,5,Cao,Dài hạn
37,"cassö, RAYE, D-Block Europe",Prada,17,32,21,14550323,False,-5,Cao,Dài hạn
38,Miley Cyrus,Flowers,1,30,52,14548483,False,-8,Cao,Dài hạn
39,Lord Huron,The Night We Met,36,44,64,14442070,False,5,Cao,Dài hạn
40,The Weeknd,Die For You,12,46,100,14241827,False,6,Cao,Dài hạn
41,Dua Lipa,Dance The Night - From Barbie The Album,5,28,33,14191744,False,-13,Cao,Dài hạn
42,SZA,Snooze,32,45,55,14106335,False,3,Cao,Dài hạn
43,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),3,42,15,13877871,False,-1,Cao,Dài hạn
44,The Neighbourhood,Sweater Weather,19,51,176,13859103,False,7,Cao,Dài hạn
45,The Weeknd,Blinding Lights,1,37,215,13651163,False,-8,Cao,Dài hạn
46,Myke Towers,LALA,1,39,28,13507364,False,-7,Cao,Dài hạn
47,Sabrina Carpenter,Feather,47,67,6,13391680,False,20,Cao,Trung hạn
48,Bad Bunny,MONACO,1,34,13,13295708,False,-14,Cao,Dài hạn
49,V,Love Me Again,11,48,22,13206831,False,-1,Cao,Dài hạn
50,"Peso Pluma, Junior H, Oscar Maydon",ROMPE LA DOMPE,38,38,2,13122143,False,-12,Cao,Ngắn hạn
51,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),1,52,11,13020606,False,1,Cao,Trung hạn
52,"Drake, Sexyy Red, SZA",Rich Baby Daddy (feat. Sexyy Red & SZA),28,81,13,13017598,False,29,Cao,Dài hạn
53,"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA,47,47,23,12919864,False,-6,Cao,Dài hạn
54,Tom Odell,Another Love,15,55,144,12882699,False,1,Cao,Dài hạn
55,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),16,60,46,12624432,False,5,Cao,Dài hạn
56,Gunna,fukumean,9,49,30,12504254,False,-7,Cao,Dài hạn
57,Quevedo,Columbia,7,53,27,12227913,False,-4,Cao,Dài hạn
58,Tate McRae,exes,26,70,8,12153251,False,12,Cao,Trung hạn
59,"Peso Pluma, Gabito Ballesteros, Junior H",LADY GAGA,9,43,29,12094395,False,-16,Cao,Dài hạn
60,Jimin,Like Crazy,15,58,42,12091523,False,-2,Cao,Dài hạn
61,"David Guetta, Bebe Rexha",I'm Good (Blue),2,40,72,12082598,False,-21,Cao,Dài hạn
62,"Drake, Yeat",IDGAF (feat. Yeat),5,63,14,11933338,False,1,Cao,Dài hạn
63,Nicki Minaj,FTCU,63,66,4,11892608,False,3,Cao,Ngắn hạn
64,Taylor Swift,Lover,2,68,49,11885974,False,4,Cao,Dài hạn
65,Taylor Swift,Anti-Hero,1,61,64,11756777,False,-4,Cao,Dài hạn
66,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,1,72,266,11536228,False,6,Cao,Dài hạn
67,Travis Scott,I KNOW ?,14,77,24,11483082,False,10,Cao,Dài hạn
68,"Grupo Frontera, Bad Bunny",un x100to,1,62,39,11455676,False,-6,Cao,Dài hạn
69,"Rema, Selena Gomez",Calm Down (with Selena Gomez),9,50,72,11425736,False,-19,Cao,Dài hạn
70,OneRepublic,I Ain't Worried,7,74,84,11381598,False,4,Cao,Dài hạn
71,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,35,82,10,11281453,False,11,Cao,Trung hạn
72,Coldplay,Yellow,50,76,160,11202544,False,4,Trung bình,Dài hạn
73,"Vishal Mishra, Raj Shekhar",Pehle Bhi Main,49,56,5,11194555,False,-17,Trung bình,Trung hạn
74,Coldplay,Viva La Vida,57,75,72,10985760,False,1,Trung bình,Dài hạn
75,Lewis Capaldi,Someone You Loved,4,85,261,10958351,False,10,Trung bình,Dài hạn
76,Kanye West,Heartless,76,90,27,10832805,False,14,Trung bình,Dài hạn
77,Carin Leon,Primera Cita,21,59,28,10786386,False,-18,Trung bình,Dài hạn
78,Junior H,Y LLORO,55,110,14,10748250,False,32,Trung bình,Dài hạn
79,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),2,78,58,10722369,False,-1,Trung bình,Dài hạn
