vi_tri_xep_hang,nghe_si,ten_bai_hat,vi_tri_cao_nhat,vi_tri_tuan_truoc,so_tuan_tren_bang_xep_hang,luot_nghe,bai_hat_moi,thay_doi_thu_hang,nhom_luot_nghe,do_ben
4,"¥$, Kanye West, Ty Dolla $ign",CARNIVAL,2,4,6,38774508,False,0,Rất cao,Trung hạn
5,Teddy Swims,Lose Control,5,8,19,33398917,False,3,Rất cao,Dài hạn
6,Tate McRae,greedy,1,5,27,33384747,False,-1,Rất cao,Dài hạn
7,Taylor Swift,Cruel Summer,2,7,59,30917426,False,0,Rất cao,Dài hạn
8,"FloyyMenor, Cris Mj",Gata Only,8,12,6,29413791,False,4,Rất cao,Trung hạn
9,Beyoncé,TEXAS HOLD 'EM,2,9,6,27044490,False,0,Rất cao,Trung hạn
10,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",3,10,24,26861469,False,0,Rất cao,Dài hạn
11,Mitski,My Love Mine All Mine,3,14,26,24777120,False,3,Rất cao,Dài hạn
12,Noah Kahan,Stick Season,6,17,24,24225119,False,5,Rất cao,Dài hạn
13,Xavi,La Diabla,1,16,15,24203096,False,3,Rất cao,Dài hạn
14,"Feid, ATL Jacob",LUNA,9,19,15,23684757,False,5,Rất cao,Dài hạn
15,V,FRI(END)S,15,-1,1,22994290,True,-16,Rất cao,Ngắn hạn
16,Ariana Grande,"yes, and?",1,6,10,22044042,False,-10,Rất cao,Trung hạn
17,21 Savage,redrum,8,21,10,20994014,False,4,Rất cao,Trung hạn
18,Ariana Grande,the boy is mine,11,11,2,20753404,False,-7,Rất cao,Ngắn hạn
19,SZA,Saturn,17,22,4,20471682,False,3,Rất cao,Ngắn hạn
20,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),5,23,27,19621431,False,3,Rất cao,Dài hạn
21,"Natanael Cano, Oscar Maydon",Madonna,21,53,2,19024913,False,32,Rất cao,Ngắn hạn
22,Jack Harlow,Lovin On Me,3,26,19,18855701,False,4,Rất cao,Dài hạn
23,Arctic Monkeys,I Wanna Be Yours,15,29,89,18394392,False,6,Rất cao,Dài hạn
24,Natasha Bedingfield,Unwritten,16,27,10,18115939,False,3,Rất cao,Trung hạn
25,Myke Towers,LA FALDA,24,32,12,17995638,False,7,Rất cao,Trung hạn
26,Dua Lipa,Houdini,6,31,19,17733036,False,5,Rất cao,Dài hạn
27,Xavi,La Víctima,8,34,17,17112803,False,7,Rất cao,Dài hạn
28,Dua Lipa,Training Season,15,36,5,16973341,False,8,Rất cao,Trung hạn
29,Tyla,Water,12,35,26,16949140,False,6,Rất cao,Dài hạn
30,Lord Huron,The Night We Met,28,40,74,16677263,False,10,Rất cao,Dài hạn
31,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),1,41,36,16631003,False,10,Rất cao,Dài hạn
32,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",3,38,36,16615938,False,6,Rất cao,Dài hạn
